Region label,Unit of measure,Commodity,Year,Value
Tasmania,tonnes,Wheat,1920,5800
Northern Territory,tonnes,Wheat,1920,0
Australian Capital Territory,tonnes,Wheat,1920,0
New South Wales,tonnes,Potatoes,1920,50800
Victoria,tonnes,Potatoes,1920,148200
Queensland,tonnes,Potatoes,1920,8000
South Australia,tonnes,Potatoes,1920,11200
Western Australia,tonnes,Potatoes,1920,13500
Tasmania,tonnes,Potatoes,1920,67300
Northern Territory,tonnes,Potatoes,1920,0
Australian Capital Territory,tonnes,Potatoes,1920,0
New South Wales,tonnes,Barley,1921,2800
Victoria,tonnes,Barley,1921,56600
Queensland,tonnes,Barley,1921,7200
South Australia,tonnes,Barley,1921,89600
Western Australia,tonnes,Barley,1921,2500
Tasmania,tonnes,Barley,1921,3700
Northern Territory,tonnes,Barley,1921,0
Australian Capital Territory,tonnes,Barley,1921,0
New South Wales,tonnes,Maize,1921,106100
Victoria,tonnes,Maize,1921,27100
Queensland,tonnes,Maize,1921,73900
South Australia,tonnes,Maize,1921,0
Western Australia,tonnes,Maize,1921,0
Tasmania,tonnes,Maize,1921,0
Northern Territory,tonnes,Maize,1921,0
Australian Capital Territory,tonnes,Maize,1921,0
New South Wales,tonnes,Oats,1921,29800
Victoria,tonnes,Oats,1921,197900
Queensland,tonnes,Oats,1921,1900
South Australia,tonnes,Oats,1921,42200
Western Australia,tonnes,Oats,1921,36600
Tasmania,tonnes,Oats,1921,27500
Northern Territory,tonnes,Oats,1921,0
Australian Capital Territory,tonnes,Oats,1921,0
New South Wales,tonnes,Wheat,1921,1513900
Victoria,tonnes,Wheat,1921,1074200
Queensland,tonnes,Wheat,1921,100800
South Australia,tonnes,Wheat,1921,931800
Western Australia,tonnes,Wheat,1921,333100
Tasmania,tonnes,Wheat,1921,15400
Northern Territory,tonnes,Wheat,1921,0
Australian Capital Territory,tonnes,Wheat,1921,0
New South Wales,tonnes,Potatoes,1921,64300
Victoria,tonnes,Potatoes,1921,174400
Queensland,tonnes,Potatoes,1921,19400
South Australia,tonnes,Potatoes,1921,17300
Western Australia,tonnes,Potatoes,1921,13600
Tasmania,tonnes,Potatoes,1921,90100
Northern Territory,tonnes,Potatoes,1921,0
Australian Capital Territory,tonnes,Potatoes,1921,0
New South Wales,tonnes,Barley,1922,1900
Victoria,tonnes,Barley,1922,53000
Queensland,tonnes,Barley,1922,3000
South Australia,tonnes,Barley,1922,74400
Western Australia,tonnes,Barley,1922,1900
Tasmania,tonnes,Barley,1922,3800
Northern Territory,tonnes,Barley,1922,0
Australian Capital Territory,tonnes,Barley,1922,0
New South Wales,tonnes,Maize,1922,101000
Victoria,tonnes,Maize,1922,24200
Queensland,tonnes,Maize,1922,81700
South Australia,tonnes,Maize,1922,0
Western Australia,tonnes,Maize,1922,0
Tasmania,tonnes,Maize,1922,0
Northern Territory,tonnes,Maize,1922,0
Australian Capital Territory,tonnes,Maize,1922,0
New South Wales,tonnes,Oats,1922,21200
Victoria,tonnes,Oats,1922,110400
Queensland,tonnes,Oats,1922,600
South Australia,tonnes,Oats,1922,23500
Western Australia,tonnes,Oats,1922,36600
Tasmania,tonnes,Oats,1922,28100
Northern Territory,tonnes,Oats,1922,0
Australian Capital Territory,tonnes,Oats,1922,0
New South Wales,tonnes,Wheat,1922,1163900
Victoria,tonnes,Wheat,1922,1193900
Queensland,tonnes,Wheat,1922,82300
South Australia,tonnes,Wheat,1922,678500
Western Australia,tonnes,Wheat,1922,378200
Tasmania,tonnes,Wheat,1922,15700
Northern Territory,tonnes,Wheat,1922,0
Australian Capital Territory,tonnes,Wheat,1922,0
New South Wales,tonnes,Potatoes,1922,58800
Victoria,tonnes,Potatoes,1922,176400
Queensland,tonnes,Potatoes,1922,17100
South Australia,tonnes,Potatoes,1922,18900
Western Australia,tonnes,Potatoes,1922,13800
Tasmania,tonnes,Potatoes,1922,109400
Northern Territory,tonnes,Potatoes,1922,0
Australian Capital Territory,tonnes,Potatoes,1922,0
New South Wales,tonnes,Barley,1923,1300
Victoria,tonnes,Barley,1923,55400
Queensland,tonnes,Barley,1923,2100
South Australia,tonnes,Barley,1923,83900
Western Australia,tonnes,Barley,1923,2400
Tasmania,tonnes,Barley,1923,3500
Northern Territory,tonnes,Barley,1923,0
Australian Capital Territory,tonnes,Barley,1923,0
New South Wales,tonnes,Maize,1923,83500
Victoria,tonnes,Maize,1923,22400
Queensland,tonnes,Maize,1923,51400
South Australia,tonnes,Maize,1923,0
Western Australia,tonnes,Maize,1923,0
Tasmania,tonnes,Maize,1923,0
Northern Territory,tonnes,Maize,1923,0
Australian Capital Territory,tonnes,Maize,1923,0
New South Wales,tonnes,Oats,1923,22700
Victoria,tonnes,Oats,1923,146800
Queensland,tonnes,Oats,1923,400
South Australia,tonnes,Oats,1923,30400
Western Australia,tonnes,Oats,1923,40900
Tasmania,tonnes,Oats,1923,30500
Northern Territory,tonnes,Oats,1923,0
Australian Capital Territory,tonnes,Oats,1923,0
New South Wales,tonnes,Wheat,1923,780200
Victoria,tonnes,Wheat,1923,971500
Queensland,tonnes,Wheat,1923,51100
South Australia,tonnes,Wheat,1923,782900
Western Australia,tonnes,Wheat,1923,376900
Tasmania,tonnes,Wheat,1923,15500
Northern Territory,tonnes,Wheat,1923,0
Australian Capital Territory,tonnes,Wheat,1923,0
New South Wales,tonnes,Potatoes,1923,36300
Victoria,tonnes,Potatoes,1923,150700
Queensland,tonnes,Potatoes,1923,10700
South Australia,tonnes,Potatoes,1923,17600
Western Australia,tonnes,Potatoes,1923,15400
Tasmania,tonnes,Potatoes,1923,102800
Northern Territory,tonnes,Potatoes,1923,0
Australian Capital Territory,tonnes,Potatoes,1923,0
New South Wales,tonnes,Barley,1924,1600
Victoria,tonnes,Barley,1924,33000
Queensland,tonnes,Barley,1924,100
South Australia,tonnes,Barley,1924,73800
Western Australia,tonnes,Barley,1924,2200
Tasmania,tonnes,Barley,1924,2200
Northern Territory,tonnes,Barley,1924,0
Australian Capital Territory,tonnes,Barley,1924,0
New South Wales,tonnes,Maize,1924,117400
Victoria,tonnes,Maize,1924,37200
Queensland,tonnes,Maize,1924,186200
South Australia,tonnes,Maize,1924,0
Western Australia,tonnes,Maize,1924,0
Tasmania,tonnes,Maize,1924,0
Northern Territory,tonnes,Maize,1924,0
Australian Capital Territory,tonnes,Maize,1924,0
New South Wales,tonnes,Oats,1924,28500
Victoria,tonnes,Oats,1924,169900
Queensland,tonnes,Oats,1924,0
South Australia,tonnes,Oats,1924,39100
Western Australia,tonnes,Oats,1924,51500
Tasmania,tonnes,Oats,1924,24700
Northern Territory,tonnes,Oats,1924,0
Australian Capital Territory,tonnes,Oats,1924,0
New South Wales,tonnes,Wheat,1924,902900
Victoria,tonnes,Wheat,1924,1028600
Queensland,tonnes,Wheat,1924,6600
South Australia,tonnes,Wheat,1924,939800
Western Australia,tonnes,Wheat,1924,514600
Tasmania,tonnes,Wheat,1924,8300
Northern Territory,tonnes,Wheat,1924,0
Australian Capital Territory,tonnes,Wheat,1924,0
New South Wales,tonnes,Potatoes,1924,62100
Victoria,tonnes,Potatoes,1924,242300
Queensland,tonnes,Potatoes,1924,9000
South Australia,tonnes,Potatoes,1924,21700
Western Australia,tonnes,Potatoes,1924,18100
Tasmania,tonnes,Potatoes,1924,101500
Northern Territory,tonnes,Potatoes,1924,0
Australian Capital Territory,tonnes,Potatoes,1924,0
New South Wales,tonnes,Barley,1925,2700
Victoria,tonnes,Barley,1925,32800
Queensland,tonnes,Barley,1925,3900
South Australia,tonnes,Barley,1925,70500
Western Australia,tonnes,Barley,1925,4000
Tasmania,tonnes,Barley,1925,1200
Northern Territory,tonnes,Barley,1925,0
Australian Capital Territory,tonnes,Barley,1925,0
New South Wales,tonnes,Maize,1925,106900
Victoria,tonnes,Maize,1925,22700
Queensland,tonnes,Maize,1925,86000
South Australia,tonnes,Maize,1925,0
Western Australia,tonnes,Maize,1925,0
Tasmania,tonnes,Maize,1925,0
Northern Territory,tonnes,Maize,1925,0
Australian Capital Territory,tonnes,Maize,1925,0
New South Wales,tonnes,Oats,1925,45600
Victoria,tonnes,Oats,1925,173700
Queensland,tonnes,Oats,1925,1200
South Australia,tonnes,Oats,1925,35100
Western Australia,tonnes,Oats,1925,76800
Tasmania,tonnes,Oats,1925,19400
Northern Territory,tonnes,Oats,1925,0
Australian Capital Territory,tonnes,Oats,1925,0
New South Wales,tonnes,Wheat,1925,1626600
Victoria,tonnes,Wheat,1925,1289100
Queensland,tonnes,Wheat,1925,75600
South Australia,tonnes,Wheat,1925,830400
Western Australia,tonnes,Wheat,1925,649700
Tasmania,tonnes,Wheat,1925,6300
Northern Territory,tonnes,Wheat,1925,0
Australian Capital Territory,tonnes,Wheat,1925,0
New South Wales,tonnes,Potatoes,1925,58200
Victoria,tonnes,Potatoes,1925,141300
Queensland,tonnes,Potatoes,1925,20600
South Australia,tonnes,Potatoes,1925,12400
Western Australia,tonnes,Potatoes,1925,20200
