Region label,Unit of measure_x,Commodity,Year,Value,Unit of measure_y,Hectares
New South Wales,tonnes,Potatoes,1918,50800,hectares,9100
Victoria,tonnes,Potatoes,1918,185100,hectares,27100
Queensland,tonnes,Potatoes,1918,22500,hectares,4300
South Australia,tonnes,Potatoes,1918,11500,hectares,1700
Western Australia,tonnes,Potatoes,1918,11500,hectares,1800
Tasmania,tonnes,Potatoes,1918,71600,hectares,11100
Northern Territory,tonnes,Potatoes,1918,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1918,0,hectares,0
New South Wales,tonnes,Barley,1919,2000,hectares,3200
Victoria,tonnes,Barley,1919,46000,hectares,40500
Queensland,tonnes,Barley,1919,200,hectares,500
South Australia,tonnes,Barley,1919,54900,hectares,52800
Western Australia,tonnes,Barley,1919,1800,hectares,3200
Tasmania,tonnes,Barley,1919,3200,hectares,2800
Northern Territory,tonnes,Barley,1919,0,hectares,0
Australian Capital Territory,tonnes,Barley,1919,0,hectares,0
New South Wales,tonnes,Maize,1919,53100,hectares,46400
Victoria,tonnes,Maize,1919,18100,hectares,9100
Queensland,tonnes,Maize,1919,46500,hectares,42600
South Australia,tonnes,Maize,1919,0,hectares,0
Western Australia,tonnes,Maize,1919,0,hectares,0
Tasmania,tonnes,Maize,1919,0,hectares,0
Northern Territory,tonnes,Maize,1919,0,hectares,0
Australian Capital Territory,tonnes,Maize,1919,0,hectares,0
New South Wales,tonnes,Oats,1919,23100,hectares,35000
Victoria,tonnes,Oats,1919,95700,hectares,138800
Queensland,tonnes,Oats,1919,100,hectares,100
South Australia,tonnes,Oats,1919,27900,hectares,65100
Western Australia,tonnes,Oats,1919,27100,hectares,57200
Tasmania,tonnes,Oats,1919,15400,hectares,14700
Northern Territory,tonnes,Oats,1919,0,hectares,0
Australian Capital Territory,tonnes,Oats,1919,0,hectares,0
New South Wales,tonnes,Wheat,1919,498700,hectares,975200
Victoria,tonnes,Wheat,1919,686900,hectares,896200
Queensland,tonnes,Wheat,1919,2800,hectares,8800
South Australia,tonnes,Wheat,1919,623900,hectares,884800
Western Australia,tonnes,Wheat,1919,240600,hectares,463800
Tasmania,tonnes,Wheat,1919,5100,hectares,4800
Northern Territory,tonnes,Wheat,1919,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1919,0,hectares,0
New South Wales,tonnes,Potatoes,1919,30800,hectares,8400
Victoria,tonnes,Potatoes,1919,139700,hectares,20900
Queensland,tonnes,Potatoes,1919,11300,hectares,2600
South Australia,tonnes,Potatoes,1919,13400,hectares,1300
Western Australia,tonnes,Potatoes,1919,11900,hectares,1600
Tasmania,tonnes,Potatoes,1919,57400,hectares,10100
Northern Territory,tonnes,Potatoes,1919,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1919,0,hectares,0
New South Wales,tonnes,Barley,1920,900,hectares,2200
Victoria,tonnes,Barley,1920,34700,hectares,34500
Queensland,tonnes,Barley,1920,800,hectares,1300
South Australia,tonnes,Barley,1920,55600,hectares,63900
Western Australia,tonnes,Barley,1920,2600,hectares,3700
Tasmania,tonnes,Barley,1920,2700,hectares,2500
Northern Territory,tonnes,Barley,1920,0,hectares,0
Australian Capital Territory,tonnes,Barley,1920,0,hectares,0
